Product ID,Box RFID,Assembly Time,Wait for Assembly,Package Time,Wait for Package,Glue Time,Wait for Glue,Glue Amount,Shift,Production_Time (h),Energy_Consumption
1,1,6.519226981,0,3.426244134,0,2.052273291,0,0.637483693,1,0.290835134,6.209187839
2,1,7.016443259,1.594172963,2.843490041,3.426244134,3.204782983,2.052273291,0.721772936,1,0.372919368,8.431927924
3,1,5.816287545,2.043877531,2.819564204,6.269734174,2.637094321,5.257056275,1.396971986,1,0.482365012,6.826920499
4,1,5.224540361,1.293426386,1.919237031,9.089298379,2.319812104,7.894150595,1.069048553,1,0.591810657,5.817339409
5,1,4.144570518,1.592912728,3.706848679,11.00853541,2.884742806,10.2139627,1.41316513,1,0.673894891,6.110857121
6,1,6.381540211,0.812429228,3.757068554,14.71538409,1.981157539,13.09870551,0.873509246,1,0.755979125,5.730961486
7,1,5.362839634,2.268915421,3.597184827,18.47245264,3.57438958,15.07986304,1.085729861,1,0.838063358,5.351460427
8,1,5.906011292,2.706701037,3.658710598,22.06963747,3.1916678,18.65425262,1.064907427,1,0.920147592,7.879441856
9,1,4.748921987,3.687658311,2.920945722,25.72834807,3.069811303,21.84592042,0.832626139,1,1.002231825,7.62692806
10,1,4.822813341,3.51152628,3.265617811,28.64929379,1.506469567,24.91573173,1.015967207,1,1.084316059,7.074804328
11,1,6.109316802,3.409285603,2.740252048,0,2.497222237,0,1.117551947,1,1.166400293,7.656925641
12,1,2.670149453,4.593548387,3.292830416,2.740252048,2.742324805,2.497222237,0.597883135,1,1.248484526,8.515509837
13,1,7.099727062,2.338643822,2.936139792,6.033082464,1.730718912,5.239547041,1.144283252,1,1.33056876,6.07825696
14,1,5.459235051,2.871632193,2.163969086,8.969222256,3.014185009,6.970265953,1.020664019,1,1.440014405,6.552527392
15,1,4.961044225,3.405813226,2.604786847,11.13319134,4.199556708,9.984450963,0.57884852,1,1.522098638,7.854173843
16,1,5.379169339,3.441803433,2.99902723,13.73797819,4.250194223,14.18400767,0.945745354,1,1.604182872,6.460949836
17,1,7.486556332,3.895918754,3.582343962,16.73700542,1.34389043,18.43420189,0.5903666,1,1.686267106,5.769395707
18,1,6.040351018,3.174051722,3.117133085,20.31934938,2.079778595,19.77809232,0.923917938,1,1.823074162,6.268834522
19,1,5.446982122,4.289348722,2.855357008,23.43648247,3.137534736,21.85787092,1.025314541,1,1.905158395,6.890073109
20,1,4.352601368,4.811276826,2.230178462,26.29183947,2.533932707,24.99540565,1.482191282,1,1.987242629,8.513030056
21,1,6.089964979,2.597139504,3.038224229,0,3.15765346,0,0.428044407,1,2.096688274,4.014727959
22,1,5.811892743,3.762050465,2.857064194,3.038224229,2.95525957,3.15765346,0.726967411,1,2.178772508,6.366581139
23,1,5.481225471,4.648889189,3.956448626,5.895288423,2.644893841,6.11291303,1.565218273,1,2.260856741,8.438009294
24,1,5.213794424,5.205060643,2.945038653,9.851737049,3.250374456,8.757806871,1.264730648,1,2.342940975,7.098545767
25,1,5.959781026,5.493801049,2.170934965,12.7967757,2.175357442,12.00818133,1.511753001,1,2.425025208,7.627195835
26,1,3.479383502,6.528528057,3.116585401,14.96771067,2.076128141,14.18353877,0.790181929,1,2.507109442,8.062880046
27,1,6.153964875,5.08285754,2.799250356,18.08429607,2.674148054,16.25966691,0.972785251,1,2.589193676,6.426943351
28,1,6.783838022,6.311768397,3.604574946,20.88354642,4.383524978,18.93381496,0.709843625,1,2.671277909,7.892504557
29,1,5.879033687,8.170552401,2.375783393,24.48812137,3.365168891,23.31733994,1.587890897,1,2.753362143,6.020712022
30,1,5.126093674,9.12453207,3.088366303,26.86390476,2.772635589,26.68250883,0.902130359,1,2.835446377,8.329087043
31,1,4.554655879,9.325571726,2.578896973,0,1.664846741,0,0.867884185,1,2.91753061,5.600399152
32,1,5.273888278,8.955173586,3.285983902,2.578896973,3.950734458,1.664846741,0.303387564,1,2.999614844,5.206602731
33,1,4.938962945,9.304007846,3.45139146,5.864880874,2.526487509,5.615581199,1.241000458,1,3.081699077,7.126338097
34,1,4.674772152,9.317916774,3.229008023,9.316272334,3.228018388,8.142068708,1.040157968,1,3.163783311,7.834115389
35,1,3.118589406,0,1.860451286,12.54528036,3.89917608,11.3700871,0.91584005,2,10.91253421,5.944717972
36,1,6.909421388,0,2.952226499,14.40573164,3.043666248,15.26926318,0.69600005,2,10.99461845,8.237741226
37,1,5.383773034,1.98436737,2.607988358,17.35795814,2.464728601,18.31292942,0.804797174,2,11.07670268,6.563211836
38,1,6.558154944,2.443086386,2.866653269,19.9659465,4.475603055,20.77765802,1.469495572,2,11.15878691,6.469559167
39,1,5.313766958,4.076187311,3.417553504,22.83259977,0.813038438,25.25326108,1.431507713,2,11.24087115,8.253117196
40,1,4.509977453,4.464900252,3.05744631,26.25015327,3.265422889,26.06629952,0.52755756,2,11.32295538,7.554380426
41,1,5.824634798,4.049823687,2.991251266,0,2.664111802,0,1.789552079,2,11.40503961,6.173329216
42,2,5.378086205,4.949404466,3.565219663,2.991251266,4.214651752,2.664111802,0.831287998,2,11.48712385,9.415275251
43,2,5.72583298,5.402436653,2.463335567,6.556470929,3.610036967,6.878763555,1.325182729,2,11.56920808,7.769738922
44,2,4.571013169,4.561530942,3.283547031,9.019806496,2.052806802,10.48880052,0.658647403,2,11.67865373,7.515015741
45,2,4.883855123,4.207490093,3.382549205,12.30335353,2.811215172,12.54160732,0.955290454,2,11.76073796,6.553986913
46,2,5.765260847,4.166291198,3.007307137,15.68590273,3.800391798,15.3528225,0.814920427,2,11.84282219,5.698397925
47,2,5.858571061,5.006498027,2.69460826,18.69320987,3.869301456,19.15321429,1.445146373,2,11.92490643,6.381326315
48,2,3.717265252,5.94001507,2.657303001,21.38781813,2.723041955,23.02251575,0.825426398,2,12.00699066,5.606291288
49,2,4.013823151,4.732226304,2.333464554,24.04512113,1.669004911,25.7455577,1.497464081,2,12.08907489,7.730996622
50,2,4.875268913,2.179310765,3.040538453,26.37858568,1.641800441,27.41456262,1.639417234,2,12.19852054,7.439757672
51,2,4.271094143,2.12952566,3.922358247,0,2.615342081,0,0.424073219,2,12.28060477,7.887433211
52,2,2.625077034,1.475565784,2.867963217,3.922358247,3.254794061,2.615342081,1.474936005,2,12.36268901,6.478436824
53,2,6.736495273,0,2.094550191,6.790321463,3.398003488,5.870136143,1.574633489,2,12.44477324,6.982300305
54,2,3.489122162,1.811441255,2.192636695,8.884871655,3.771246528,9.268139631,0.594737347,2,12.52685747,7.46303046
55,2,4.097861694,0.375509399,3.948133253,11.07750835,3.415370403,13.03938616,1.613443731,2,12.60894171,6.427840927
56,2,5.64298935,0,3.155868221,15.0256416,2.563150169,16.45475656,0.68863258,2,12.69102594,5.076502206
57,2,5.614021319,0,3.6636481,18.18150982,4.394963855,19.01790673,0.768797848,2,12.80047158,7.534154649
58,2,4.566200964,0.688967301,2.404931919,21.84515792,1.80150958,23.41287059,0.96666494,2,12.88255582,7.540028391
59,2,5.063072932,0.330114248,2.243554762,24.25008984,2.922869773,25.21438017,0.595257218,2,12.96464005,6.316013831
60,2,4.712108557,0.468133162,2.693213894,26.49364461,3.758988262,28.13724994,0.716985683,2,13.04672429,5.905838573
61,2,4.465427921,0.2551877,2.46833324,0,2.119369054,0,1.433282002,2,13.12880852,7.287569982
62,2,6.801977477,0,3.518254374,2.46833324,3.451328319,2.119369054,1.133328019,2,13.21089275,8.551506367
63,2,5.025404073,1.876923459,2.479685115,5.986587614,2.828675233,5.570697373,1.018549691,2,13.29297699,7.629696126
64,2,4.946278445,0.335588841,2.491682121,8.466272729,2.976223943,8.399372606,1.619281474,2,13.40242263,6.514710169
65,2,4.585172415,0.356813268,2.738016613,10.95795485,3.038589168,11.37559655,0.697579584,2,13.48450687,6.23099006
66,2,4.632291187,0,2.560882127,13.69597146,1.058707485,14.41418572,0.520019081,2,13.62131392,7.359908444
67,2,6.539392679,0,3.648576882,16.25685359,1.885770086,15.4728932,1.566504406,2,13.70339815,7.592835024
68,2,4.230851953,1.614338661,2.944282811,19.90543047,3.370240466,17.35866329,1.016599498,2,13.78548239,6.647637522
69,2,5.785274697,0.920136597,3.086525429,22.84971328,4.837742845,20.72890376,0.789496362,2,13.86756662,7.774129945
70,2,3.534509809,1.780357275,2.961150435,25.93623871,4.172502911,25.5666466,0.617198297,2,13.94965086,6.837599108
71,2,5.293167945,0,2.677287361,0,1.990283068,0,0.703762932,3,21.5590965,6.791701316
72,3,5.373585148,0.368113927,2.677702661,2.677287361,2.438061959,1.990283068,1.280464312,3,21.64118073,7.219014901
73,3,4.024565015,0,3.741605035,5.354990022,2.518338397,4.428345027,1.512426762,3,21.75062638,4.75311787
74,3,4.04732617,0,3.214297281,9.096595057,3.139663271,6.946683424,1.226506338,3,21.83271061,8.799950177
75,3,6.017802904,0,2.201349076,12.31089234,2.743792738,10.08634669,1.480316675,3,21.91479485,6.013243241
76,3,4.031326371,0,2.912021195,14.51224141,3.075192278,12.83013943,1.184966695,3,22.02424049,6.493154449
77,3,4.409042351,0,2.070969449,17.42426261,3.32957056,15.90533171,1.176866671,3,22.10632472,5.701842316
78,3,5.609509614,0,3.25271749,19.49523206,3.579439041,19.23490227,0.562365994,3,22.18840896,6.138421471
79,3,7.119296267,0.684455596,2.770988637,22.74794955,3.250047467,22.81434131,0.503162144,3,22.27049319,6.335503583
80,3,5.335257696,1.237013172,2.217286539,25.51893819,2.635920609,26.06438878,1.73380222,3,22.37993884,7.420633549
81,3,5.949981031,1.64721685,3.0424003,0,3.108388552,0,0.471564489,3,22.46202307,6.637613388
82,3,2.908360362,151.1654545,3.163170391,3.0424003,1.739487216,3.108388552,1.313407482,3,22.5441073,7.749532253
83,3,5.890464183,149.1487609,3.165762221,6.205570691,2.987688175,4.847875769,1.405518668,3,22.62619154,5.640469923
84,3,2.549124089,150.114171,3.386072689,9.371332912,3.237043597,7.835563943,1.505898211,3,22.70827577,5.330279606
85,3,4.963963227,147.7382411,3.822281643,12.7574056,3.601373218,11.07260754,0.328647559,3,22.79036001,6.748295332
86,3,5.056748514,147.7771503,2.547024245,16.57968724,3.551024896,14.67398076,1.252457773,3,22.87244424,6.706497403
87,3,6.642849044,146.2671601,3.09070032,19.12671149,2.389082244,18.22500566,1.51458749,3,22.98188988,6.979348989
88,3,3.367681892,147.9849552,3.576210208,22.21741181,2.568292818,20.6140879,0.508065073,3,23.06397412,13.34551231
89,3,5.795788533,146.427583,2.950371904,25.79362202,2.205387034,23.18238072,1.811190184,3,23.14605835,12.24438723
90,3,5.362850727,147.2983176,3.378294704,28.74399392,4.983877736,25.38776775,1.194883296,3,23.22814258,10.94259578
91,3,3.280799563,147.7361143,3.395136868,0,3.2318412,0,0.561420269,3,23.31022682,12.33836225
92,3,5.620726516,146.0918598,3.775773238,3.395136868,2.335156602,3.2318412,1.491206626,3,23.39231105,10.77634073
93,3,5.308538774,146.7875323,3.002580894,7.170910106,1.982856953,5.566997802,0.72847815,3,23.47439529,11.4362005
94,3,5.363184794,145.5293324,2.952918266,10.173491,2.387535061,7.549854755,1.294027099,3,23.58384093,11.18705629
95,3,3.994389708,145.9674632,2.928059427,13.12640927,3.728454807,9.937389815,0.670860578,3,23.66592516,11.42672893
96,3,5.143932046,145.0367989,2.486426861,16.05446869,3.66728982,13.66584462,1.092538155,3,23.7480094,11.50985573
97,3,5.900873241,145.2556769,4.034292499,18.54089555,2.975982328,17.33313444,1.005095097,3,23.83009363,11.90150779
98,3,6.128805147,146.2314961,2.501587311,22.57518805,3.342178738,20.30911677,1.010145737,3,23.91217786,13.05363592
99,3,4.425064594,147.4352472,3.566724417,25.07677536,3.817256257,23.65129551,1.053137678,3,23.9942621,13.77866914
100,3,3.853774951,145.2935731,3.343368067,28.64349978,2.018463818,27.46855177,0.933690266,4,24.10370774,6.368510113
101,3,4.642259547,144.2222941,3.153213437,0,4.846552653,0,1.297819146,4,24.18579198,7.164841231
102,3,3.440932173,143.9394996,3.313396219,3.153213437,2.720969095,4.846552653,1.558654005,4,24.26787621,6.433148018
103,3,4.026118479,0,3.49667851,6.466609657,3.253078739,7.567521748,0.88169262,5,32.26662711,6.936368467
104,4,6.197077872,0,2.839893173,9.963288167,2.961557233,10.82060049,0.677837931,5,32.34871134,6.341850894
105,4,5.976561709,1.272023854,3.098003085,12.80318134,3.449679328,13.78215772,0.78505175,5,32.43079558,6.778189513
106,4,3.455663998,2.323531545,3.209038195,15.90118443,3.585260246,17.23183705,1.234086466,5,32.51287981,7.699354701
107,4,5.667099606,0.854141525,2.873498258,19.11022262,3.158280637,20.81709729,0.613891003,5,32.59496405,6.535227919
108,4,5.453484855,1.596187114,2.338337208,21.98372088,2.279998922,23.97537793,0.883870741,5,32.67704828,7.073699685
109,4,5.442184554,2.12461795,2.86356564,24.32205809,3.766435681,26.25537685,0.460945985,5,32.75913251,7.228238118
110,4,3.786356011,2.641748486,3.24379856,27.18562373,2.904274269,30.02181254,1.185088771,5,32.84121675,5.534469569
